06/10/09,187.74,190.01,187.30,190.01,21610200,189.20,188.875,172.217619047619,39.8392586721643,212.056877719783,132.378360375455
05/10/09,186.20,186.86,184.27,186.02,15111900,185.22,186.11,171.393095238095,39.7163505837391,211.109445821834,131.676744654356
02/10/09,181.41,185.94,181.35,184.90,19761000,184.11,183.155,170.599761904762,39.6359698214952,210.235731726257,130.963792083267
01/10/09,185.35,186.22,180.70,180.86,18739700,180.09,183.105,169.732857142857,39.5477726165276,209.280629759385,130.18508452633
30/09/09,186.13,186.45,182.61,185.35,19270900,184.56,185.74,168.823571428571,39.3804963193348,208.204067747906,129.443075109237
29/09/09,186.73,187.40,184.31,185.38,12335200,184.59,186.055,167.972619047619,39.1821062035672,207.154725251186,128.790512844052
28/09/09,183.87,186.68,183.33,186.15,12051600,185.35,185.01,167.313095238095,38.9971162868548,206.31021152495,128.31597895124
25/09/09,182.01,185.50,181.44,182.37,15901400,181.59,182.19,166.689761904762,38.8517778703945,205.541539775156,127.837984034367
24/09/09,187.20,187.70,182.77,183.82,19674300,183.03,185.51,165.86380952381,38.6153218912118,204.479131415021,127.248487632598
23/09/09,185.40,188.90,185.03,185.50,21198700,184.71,185.45,165.100952380952,38.3664824951105,203.467434876063,126.734469885842
22/09/09,185.19,185.38,182.85,184.48,12741200,183.69,184.835,164.375,38.117837917437,202.492837917437,126.257162082563
21/09/09,184.29,185.16,181.62,184.02,15632700,183.23,184.155,163.626428571429,37.8634777900438,201.489906361472,125.762950781385
18/09/09,185.83,186.55,184.76,185.02,21485100,184.23,185.425,162.685,37.5387695256517,200.223769525652,125.146230474348
17/09/09,181.98,186.79,181.97,184.55,28949000,183.76,183.265,161.752142857143,37.244028634515,198.996171491658,124.508114222628
16/09/09,177.99,182.75,177.88,181.87,26929400,181.09,179.93,160.937142857143,37.0129030397316,197.950045896874,123.924239817411
15/09/09,174.04,175.65,173.59,175.16,15231100,174.41,174.6,160.316666666667,36.8813922369172,197.198058903584,123.43527442975
14/09/09,170.83,173.90,170.25,173.72,11500400,172.98,172.275,160.082619047619,36.8172502578291,196.899869305448,123.26536878979
11/09/09,172.91,173.18,170.87,172.16,12462900,171.42,172.535,159.844523809524,36.7487986505941,196.593322460118,123.09572515893
10/09/09,172.06,173.25,170.81,172.56,17540500,171.82,172.31,159.445476190476,36.6520415838177,196.097517774294,122.793434606658
